Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
2024-09-18,Credit reporting or other personal consumer reports,Other personal consumer report,Incorrect information on your report,Information belongs to someone else,,,ENCORE CAPITAL GROUP INC.,FL,34472,,,Web,2024-09-18,Closed with explanation,Yes,,10169554
2024-09-19,Student loan,Private student loan,Struggling to repay your loan,Bankruptcy,,,CL Holdings LLC,KY,40160,,,Web,2024-09-19,In progress,Yes,,10169752
2024-07-24,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,,,"EQUIFAX, INC.",GA,30052,,Consent not provided,Web,2024-07-24,Closed with non-monetary relief,Yes,,9604836
2024-07-27,Credit card,General-purpose credit card or charge card,"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"Hello, I got the capital one XXXX credit card in XX/XX/year>. I was told I would be getting a XXXX dollar welcome bonus if I spent over XXXX dollars. I spent that in the first month. It is XXXX and I am still yet to receive it. I called and they claimed I didn't get the reward on my terms & conditions letter. This was extremely deceptive, I would not have applied for the credit card and had the ding my credit score as a result if I had known this. This wasn't a new promo too, you can check credit card articles dated much earlier to know that this card was offering this promo for a long time.",,CAPITAL ONE FINANCIAL CORPORATION,NY,10032,,Consent provided,Web,2024-07-27,Closed with explanation,Yes,,9634523
2024-07-01,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30253,,Consent not provided,Web,2024-07-01,Closed with non-monetary relief,Yes,,9390464
2024-07-01,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,43082,,Consent not provided,Web,2024-07-01,Closed with non-monetary relief,Yes,,9399170
2024-07-01,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NV,89169,,Consent not provided,Web,2024-07-01,Closed with non-monetary relief,Yes,,9390349
2024-07-26,Credit reporting or other personal consumer reports,Credit reporting,Problem with fraud alerts or security freezes,,,,Advanced Resolution Services Inc.,NY,11358,,Consent not provided,Web,2024-07-26,Closed with explanation,Yes,,9618587
2024-07-23,Credit card,General-purpose credit card or charge card,Closing your account,Company closed your account,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",PA,18655,,Consent not provided,Web,2024-07-23,Closed with explanation,Yes,,9586484
2024-07-30,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",NY,10460,,Consent not provided,Web,2024-07-30,Closed with non-monetary relief,Yes,,9657357
